DP_locus.normal	DP_locus.vaf5
2063	2061
567	567
393	393
114	114
2057	1998
1728	1728
559	559
1738	1738
45	45
2038	2038
1531	1531
1851	1851
575	575
2559	2559
2795	2795
2573	2573
1318	1318
1318	1318
1405	1405
1626	1626
1497	1497
1188	1188
1361	1361
1099	1099
1056	1055
1886	1886
1000	1000
817	817
92	92
666	666
2008	2008
2539	2539
733	733
962	962
901	901
58	58
773	773
1252	1252
1189	1189
765	765
2370	2370
2170	2170
869	869
982	982
1015	1015
2818	2818
724	724
1345	1345
2329	2329
754	754
1734	1734
1119	1119
611	611
1116	1116
1116	1116
1266	1266
1173	1173
1280	1280
1198	1198
1758	1757
737	737
1191	1191
1351	1351
1659	1659
1359	1359
1659	1659
2091	2091
497	497
930	930
992	992
1915	1915
1853	1853
1402	1402
2914	2914
2136	2136
2404	2404
1642	1642
1609	1609
2439	2439
2799	2799
1982	1982
1982	1982
1196	1196
1135	1135
654	654
2486	2486
2935	2935
544	544
568	568
1766	1766
651	651
1219	1219
1592	1592
674	674
582	582
1048	1048
2194	2194
840	840
809	809
309	309
624	624
984	984
920	920
387	387
1116	1116
172	172
1540	1539
1362	1362
1706	1706
965	965
965	965
1113	1113
947	947
971	971
1709	1709
2221	2221
1400	1400
1035	1035
898	898
106	106
841	841
2810	2810
1520	1520
1520	1520
1719	1719
1797	1797
1061	1061
894	894
986	986
1737	1737
1787	1787
1612	1612
1673	1673
2007	2007
1428	1428
1428	1428
1188	1188
1225	1225
960	960
994	994
655	655
1764	1764
1515	1515
1459	1459
732	732
664	664
2094	2094
700	700
1047	1047
527	527
679	679
968	968
1472	1472
747	747
1158	1158
1570	1570
2543	2543
1963	1963
1510	1510
1748	1748
1670	1670
988	988
1179	1179
975	975
1923	1923
1769	1769
2038	2038
1433	1433
1522	1522
958	958
900	900
1761	1761
1558	1558
619	619
439	439
154	154
1885	1885
240	240
1297	1297
913	913
1072	1072
936	936
1167	1167
341	341
509	509
384	384
1327	1327
566	566
696	696
598	598
1669	1669
1902	1902
423	423
1978	1978
718	718
880	880
1004	1004
1304	1304
1731	1731
2048	2048
2048	2048
906	906
186	186
186	186
186	186
1017	1017
1641	1641
2033	2033
2052	2052
1739	1739
1581	1581
1258	1258
1392	1392
1653	1653
1653	1653
1187	1187
2026	2026
993	993
1639	1639
1639	1639
932	932
1891	1891
